tosca_01_1,tosca_01_2,tosca_01_3,tosca_01_4,tosca_02_1,tosca_02_2,tosca_02_3,tosca_02_4,tosca_03_1,tosca_03_2,tosca_03_3,tosca_03_4,tosca_04_1,tosca_04_2,tosca_04_3,tosca_04_4,tosca_05_1,tosca_05_2,tosca_05_3,tosca_05_4,tosca_06_1,tosca_06_2,tosca_06_3,tosca_06_4,tosca_07_1,tosca_07_2,tosca_07_3,tosca_07_4,tosca_08_1,tosca_08_2,tosca_08_3,tosca_08_4,tosca_09_1,tosca_09_2,tosca_09_3,tosca_09_4,tosca_10_1,tosca_10_2,tosca_10_3,tosca_10_4,tosca_11_1,tosca_11_2,tosca_11_3,tosca_11_4,gasp_1,gasp_2,gasp_3,gasp_4,gasp_5,gasp_6,gasp_7,gasp_8,gasp_9,gasp_10,gasp_11,gasp_12,gasp_13,gasp_14,gasp_15,gasp_16,bf_3,bf_8,bf_13,bf_18,bf_23,bf_28,bf_33,bf_38,bf_43,bf_48,bf_53,bf_58,sex,gender,age,ethnicity,WC,consc,tos_gu,tos_sh,gu_nbe,gu_rep,sh_nse,sh_wth,gutot,shtot
5,1,5,1,1,1,4,5,5,4,4,5,1,1,1,5,1,1,5,5,1,3,5,5,5,1,5,3,3,2,2,2,5,2,5,4,5,1,5,1,1,5,1,1,1,7,6,4,4,3,5,3,5,3,5,1,2,4,7,3,5,2,5,5,4,2,5,5,3,3,5,5,Male,Male,21,Asian or Asian American,31,3.583333333,4.272727273,2.636363636,13,23,14,13,36,27
4,4,5,3,5,4,4,4,4,3,4,4,3,2,1,4,5,3,5,5,3,4,3,5,2,2,5,5,2,4,2,3,4,4,5,2,5,2,4,1,3,5,5,2,7,7,7,7,7,6,6,5,7,7,7,5,6,7,7,5,4,4,4,3,4,4,2,4,3,3,3,4,Female,Female,21,Asian or Asian American,27,2.666666667,4.545454545,4.090909091,26,28,26,23,54,49
4,1,5,4,5,1,3,5,4,3,2,4,3,3,2,4,1,1,5,5,1,2,3,4,1,1,5,5,4,1,1,2,1,4,4,1,3,2,4,1,1,4,2,1,3,6,6,2,5,5,4,2,5,4,6,2,1,5,6,6,1,3,5,4,3,2,4,4,5,1,4,2,Male,Male,20,Asian or Asian American,141,4.166666667,4,2.636363636,19,23,16,10,42,26
5,1,5,3,5,1,3,4,1,1,4,4,2,4,2,5,1,3,3,5,2,1,5,4,4,1,4,1,3,3,4,4,2,1,5,3,3,1,3,1,2,4,3,2,7,6,5,2,6,2,3,3,6,2,5,4,3,7,6,4,2,4,4,4,2,2,3,4,4,2,5,3,Male,Male,20,Non-Hispanic White or Caucasian,40,3.75,4.363636364,2,24,23,12,12,47,24
4,1,5,3,5,1,2,2,3,1,3,3,1,2,1,4,1,3,4,5,1,5,3,4,2,1,5,3,1,2,1,5,3,4,4,2,2,1,5,1,1,5,1,1,5,7,6,2,7,6,5,2,7,6,7,2,5,2,4,6,5,1,5,5,1,1,5,5,5,1,5,1,Female,Female,19,Non-Hispanic White or Caucasian,64,4.666666667,4.545454545,2.454545455,20,25,23,11,45,34
5,2,5,1,5,2,1,2,5,2,5,2,1,1,2,5,5,1,2,5,1,3,2,5,1,1,1,2,1,5,5,5,2,4,5,3,5,1,5,1,2,4,5,1,7,6,7,1,5,7,4,5,7,7,6,2,7,7,6,5,3,2,4,3,1,5,3,4,5,2,4,2,Female,Female,21,Asian or Asian American,98,3.666666667,4.545454545,3.909090909,26,23,28,12,49,40
4,2,4,3,5,4,1,3,4,4,3,4,1,1,3,3,1,1,5,5,1,1,5,4,3,1,4,3,3,4,1,1,4,5,5,3,2,1,2,1,1,4,3,1,5,6,6,3,5,5,3,7,6,4,5,2,5,2,7,3,5,4,4,2,4,4,1,3,4,4,2,4,Female,Female,21,Non-Hispanic White or Caucasian,139,2.25,3.636363636,3.090909091,16,23,20,15,39,35
4,1,5,2,5,2,3,4,2,3,4,5,2,2,2,5,1,4,4,5,2,5,2,5,3,1,5,3,1,2,1,5,3,1,4,3,4,1,5,2,4,5,4,5,2,5,6,1,6,1,3,1,6,2,6,2,4,2,5,6,2,3,4,4,4,3,4,4,4,3,4,3,Female,Female,20,Black or African American,109,3.5,4.818181818,2.727272727,16,22,13,7,38,20
3,3,4,4,2,2,4,5,3,3,1,5,3,3,2,4,3,4,4,4,3,3,4,3,4,1,3,1,1,1,1,5,3,1,2,4,3,3,3,1,2,3,2,3,2,5,2,3,4,3,4,2,2,2,5,1,2,2,4,4,2,2,4,3,3,3,4,3,4,2,5,2,Female,Female,19,Black or African American,12,3.75,3.090909091,2.181818182,10,18,9,10,28,19
4,2,4,3,3,2,3,4,4,2,3,2,4,2,3,3,2,3,4,5,3,4,3,5,2,2,4,5,3,3,1,3,3,5,4,3,5,3,4,2,2,5,5,3,5,5,6,5,3,7,6,3,4,5,5,2,5,6,6,2,4,3,4,4,4,3,4,4,4,1,4,3,Female,Female,21,Asian or Asian American,123,3.5,3.909090909,3.818181818,17,19,23,16,36,39
4,4,4,2,4,1,1,5,5,3,4,4,3,4,1,4,1,4,5,4,2,2,4,2,1,1,2,3,4,1,3,3,2,1,4,3,5,1,5,1,1,5,1,2,6,5,4,2,6,6,3,3,6,6,5,1,6,6,4,5,2,2,5,3,2,2,4,4,5,2,4,3,Male,Male,19,Hispanic or Latino,39,4,3.727272727,2.272727273,23,20,22,9,43,31
3,4,5,2,5,2,2,5,2,2,2,4,3,2,4,4,1,2,5,5,4,2,5,2,2,2,4,3,3,2,4,3,3,4,4,5,5,1,5,1,2,3,5,2,2,6,7,1,4,6,3,2,6,7,7,1,6,5,4,3,1,1,4,4,2,2,4,5,4,1,5,2,Male,Male,21,Non-Hispanic White or Caucasian,47,4.416666667,3.818181818,3,16,21,26,7,37,33
5,2,5,3,5,1,2,4,4,3,2,3,4,4,3,4,2,2,4,5,4,4,3,4,2,1,4,1,3,4,4,4,4,2,4,4,4,3,4,3,3,5,2,1,7,7,7,2,6,3,4,4,7,6,7,1,6,6,6,6,2,2,3,4,2,3,4,4,4,1,5,2,Female,Female,47,Asian or Asian American,13,4,4.181818182,2.909090909,26,26,22,11,52,33
5,3,5,5,5,2,2,5,5,5,5,5,5,5,3,5,1,1,5,5,1,5,4,5,5,3,5,5,1,5,2,5,5,4,5,4,4,5,4,5,1,5,5,1,2,3,6,4,3,7,3,5,2,4,4,5,5,5,5,5,5,5,3,4,5,5,4,3,4,2,4,4,Female,Female,19,Asian or Asian American,12,2.666666667,4.909090909,4,14,15,22,17,29,39
5,3,5,1,5,1,1,1,5,2,3,2,2,3,2,5,2,2,2,5,2,4,2,5,2,2,5,5,1,5,4,4,2,5,5,2,5,2,5,2,2,5,5,2,5,5,6,3,6,7,2,3,7,6,6,2,6,2,6,6,2,4,4,4,4,4,4,5,4,2,4,2,Female,Female,19,"Asian or Asian American,Native Hawaiian or other Pacific Islander",5,3.583333333,4.727272727,4,20,23,25,10,43,35
3,4,4,2,5,1,2,4,5,3,2,1,1,1,2,4,2,1,4,5,1,1,4,3,2,1,5,4,4,3,1,4,1,4,4,1,5,1,5,1,1,5,4,1,2,7,7,4,7,7,4,5,7,7,6,1,6,2,5,1,1,2,5,3,3,3,3,4,4,2,4,4,Female,Female,19,Non-Hispanic White or Caucasian,43,3.666666667,4.181818182,3.090909091,12,25,27,14,37,41
5,2,4,4,4,1,1,4,4,4,2,5,2,2,1,4,1,1,4,4,2,1,4,3,1,1,3,5,2,4,1,1,4,2,2,3,2,1,3,1,4,3,4,5,1,2,3,5,5,6,5,1,4,2,5,2,7,6,6,5,2,2,5,4,2,2,4,4,4,2,5,3,Male,Male,21,Hispanic or Latino,38,4.083333333,3,2.727272727,16,18,18,13,34,31
3,4,4,2,5,3,2,3,5,2,4,5,3,3,4,2,2,2,4,5,4,4,3,4,5,5,5,5,4,4,4,4,3,4,4,3,5,5,5,1,4,4,4,4,3,4,4,2,2,7,4,3,7,7,7,1,4,4,4,3,5,4,3,3,3,3,3,4,3,3,4,5,Male,Male,20,Hispanic or Latino,198,2.75,4.181818182,3.909090909,17,17,22,10,34,32
1,3,3,2,5,4,3,2,5,5,5,2,5,4,4,4,5,4,4,4,4,4,5,4,3,3,4,3,5,5,4,5,4,5,4,5,5,5,4,4,4,5,4,5,6,7,7,6,5,5,5,3,5,5,5,5,4,5,4,5,5,2,4,3,4,5,5,4,4,4,3,4,Male,Male,19,Non-Hispanic White or Caucasian,26,2.916666667,4.272727273,4.090909091,21,21,21,19,42,40
2,3,5,5,3,1,1,2,2,1,4,2,2,1,1,5,1,1,1,4,1,1,5,4,1,1,3,5,2,1,1,2,4,5,4,4,3,1,5,1,2,3,3,2,6,7,7,1,6,7,6,2,2,7,4,5,7,2,6,1,2,2,4,4,1,4,3,5,5,1,5,4,Female,Female,19,Black or African American,53,4,3.818181818,2.272727273,11,23,28,14,34,42
4,1,5,1,4,1,1,3,5,4,5,4,1,1,1,5,2,1,1,5,2,1,3,5,1,1,4,5,1,1,1,5,1,3,5,1,5,1,3,1,1,5,2,1,2,6,4,1,5,1,3,4,3,3,6,1,1,3,6,5,3,2,4,4,5,3,4,2,3,3,4,4,Female,Female,21,Asian or Asian American,209,3.083333333,4.636363636,2.727272727,13,23,9,9,36,18
4,3,5,2,5,4,3,3,4,2,3,4,4,3,4,5,2,3,4,5,2,4,4,4,1,2,5,4,2,4,1,5,3,4,5,4,5,2,5,1,2,5,5,2,6,6,5,2,5,5,4,7,6,6,6,3,5,6,3,5,4,2,4,3,1,4,3,4,4,4,4,4,Female,Female,25,Non-Hispanic White or Caucasian,7,3.25,4.727272727,4,23,20,21,16,43,37
5,3,5,1,5,4,1,4,5,3,4,4,1,3,3,4,1,2,4,5,1,5,5,5,2,1,5,5,2,5,1,4,5,5,5,4,5,1,5,1,3,5,4,2,2,7,7,3,7,7,4,1,7,7,7,2,7,4,7,7,2,5,4,4,5,5,4,5,4,2,4,4,Female,Female,21,Asian or Asian American,98,3.166666667,4.727272727,4.272727273,20,28,28,10,48,38
5,1,5,1,5,2,3,5,5,5,2,2,1,1,1,5,5,1,1,5,1,5,1,5,5,1,5,3,1,1,1,5,5,5,3,4,5,3,5,1,1,5,4,1,7,5,5,5,3,4,4,4,4,3,4,4,3,4,4,5,3,5,5,5,4,5,5,5,3,2,5,3,Female,Female,21,Non-Hispanic White or Caucasian,20,3.5,4.545454545,3.727272727,20,16,15,17,36,32
1,5,5,3,5,2,1,5,1,1,5,2,1,1,1,5,4,1,3,5,1,2,3,5,3,1,5,5,2,1,1,5,1,5,5,2,5,1,5,1,1,5,5,1,1,7,7,2,7,7,4,6,7,7,3,3,7,7,6,7,5,2,4,5,1,1,4,5,5,1,5,4,Female,Female,20,Hispanic or Latino,59,4.166666667,5,2.909090909,22,23,28,15,45,43
5,3,4,2,2,1,2,4,5,2,4,4,2,4,1,4,2,2,3,5,1,5,3,4,5,2,4,2,4,2,3,5,2,4,5,3,5,1,4,1,2,4,3,1,3,1,5,2,5,6,1,2,2,5,6,2,6,6,6,4,4,3,2,2,4,4,4,2,2,1,2,5,Female,Female,20,"Asian or Asian American,Native Hawaiian or other Pacific Islander",105,2.416666667,4.090909091,3.181818182,15,18,22,7,33,29
1,1,5,4,5,3,3,2,1,1,4,4,4,5,2,4,4,2,2,5,2,2,4,4,3,4,5,5,1,3,3,4,4,5,5,2,5,3,5,1,1,5,5,3,3,7,7,3,6,7,5,2,4,6,7,3,7,6,7,7,2,3,4,4,3,5,4,4,4,2,3,2,Male,Male,20,Asian or Asian American,58,3.5,4.636363636,3.272727273,20,27,27,13,47,40
5,2,5,1,4,2,4,5,5,1,3,5,1,3,3,3,1,1,3,5,2,2,3,5,3,1,4,2,1,1,1,5,3,4,5,3,3,3,5,1,3,2,3,3,3,5,3,5,6,5,6,4,6,4,6,4,6,5,6,5,3,4,5,3,3,4,4,3,5,3,4,5,Female,Female,20,Asian or Asian American,51,3.166666667,4.181818182,2.818181818,19,23,18,19,42,37
2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,2,2,3,2,2,2,3,2,2,2,3,2,3,2,3,3,3,2,2,2,2,4,4,3,2,2,4,2,3,3,4,3,3,4,3,4,3,3,3,4,5,3,4,4,3,2,3,4,3,3,3,4,2,4,3,3,4,Female,Female,22,Asian or Asian American,20,3.166666667,2.363636364,2.545454545,13,16,12,15,29,27
5,1,5,2,5,1,1,4,5,2,1,1,2,4,1,5,2,2,4,5,1,5,5,5,3,1,5,5,3,4,5,5,2,4,5,2,5,1,5,1,2,5,5,1,6,6,7,1,6,7,3,1,7,7,6,1,6,4,7,6,3,4,5,3,5,3,3,5,5,2,5,4,Female,Female,21,"Hispanic or Latino,Non-Hispanic White or Caucasian",139,3.416666667,4.636363636,3.818181818,23,25,27,6,48,33
5,2,5,2,5,2,1,3,3,2,4,4,2,2,2,5,2,2,5,4,1,4,2,4,2,1,4,4,2,1,1,4,2,5,3,3,4,1,5,4,1,5,2,1,5,7,6,3,4,5,4,1,6,5,3,1,3,3,5,4,2,4,5,3,4,3,4,4,5,2,2,3,Female,Female,21,Non-Hispanic White or Caucasian,57,3.416666667,4.363636364,3.090909091,18,19,19,9,37,28
5,2,5,2,4,1,2,3,5,2,4,1,2,2,2,4,1,1,4,4,1,1,4,4,1,1,5,4,4,1,2,1,2,4,4,2,4,2,5,1,1,2,2,1,6,6,7,6,6,5,4,5,7,6,7,6,6,5,6,7,5,4,4,3,4,4,2,4,4,2,4,4,Female,Female,20,Asian or Asian American,29,2.833333333,3.818181818,2.727272727,25,25,24,21,50,45
5,2,5,3,5,4,1,2,5,2,5,1,2,3,1,5,2,1,3,5,1,5,2,5,1,1,5,5,2,5,5,4,2,5,5,1,5,1,5,1,1,5,5,1,7,7,7,2,7,7,6,1,7,5,7,2,6,6,7,7,1,4,4,3,4,4,5,2,4,1,3,4,Male,Male,20,Other (please identify),33,3.25,4.909090909,4.272727273,27,28,25,11,55,36
