MoAimportSUM,MoAachieveSUM,IDEA8_exp,IDEA8_negativity,IDEA8_identity,IDEA8_between,IDEA8All,PSS_Family,PSS_Friends,PSS_Special,SWBscale,MindfulnessScale,BelongingScale,EfficacyScale,Exploitiveness,NPItot,Transgressions,Stress,PosDisabilityIdentity,SocMedia_maintain,SocMedia_newconnect,SocMedia_information,RaceDichotomized,EducationDichotomized,president,usdream_1,usdream_2,PhysicalDis,SensoryDis,LearningDis,PsychiatricDis,ChronicHealthDis,OtherDis,OtherDisSpecify,marriage1_1,marriage1_2,marriage1_3,marriage1_4,marriage2,marriage3,marriage4,marriage5,sex,age,sibling,armedservices,yearsservices,income,USresidency,USresidencyyears,EA_Status,Election_date,Political_views,Party_affiliation,President_coded,DisabilityIdentity,RaceCoded,EducationCoded
49,34,3,3,3.5,2.5,3,4.75,3.5,5,3.166666667,3.2,2.2,2.7,1.666666667,3,1.25,2.8,39,2.8,3,4,,1,I support none of the candidates.,2,4,,,1,1,,,,27.5,30,27.5,15,3,14,2,2,1,26,3,3,,1,1,26,1,1,3,4,neither,1,7,2
58,46,3,4,2.5,1.5,2.75,4.75,5,7,2.5,2.466666667,4.2,2.5,2,2,3,3.8,22,3,3.75,3,0,1,Clinton,4,2,2,2,1,1,1,2,,40,0,40,20,4,12,1,2,2,25,"3,5",3,,2,1,25,1,1,2,2,Clinton,1,1,2
67,2,4,2.5,3,4,3.375,6,6,4.5,4,3.6,3.8,1.9,3.333333333,3,1,3.3,50,2.6,2.25,1,1,1,Bernie Sanders,3,3,2,2,1,2,2,2,,98,100,100,80,4,10,3,1,2,,"2,6",3,,8,1,18,0,1,,1,Sanders,2,4,2
75,34,4,4,4,4,4,3.75,5.25,4.5,1.5,2.133333333,3.7,3,1.666666667,2,5.5,4.3,,3,2.75,3,0,1,None,4,4,2,2,2,2,2,,,25,25,20,30,5,9,4,1,2,,"2,4",3,,7,1,18,0,1,4,4,neither,2,1,2
80,34,4,4,4,4,4,7,7,7,6.166666667,5.2,3.8,3.2,1,5,1.25,2.7,,4.6,5,5,0,1,NO clue,5,5,2,2,2,2,2,,,20,40,20,20,5,10,3,1,2,,"4,5",3,,6,1,18,0,1,6,6,dontknow,2,1,2
69,34,3,3,3.5,3.5,3.25,6.5,6,6,5.5,4.333333333,3.6,3,3.666666667,2,1.25,2.9,,4.2,3.5,4,1,1,Hillary Clinton,4,3,2,2,2,2,2,2,,35,20,30,15,4,12,2,1,2,,1,3,,6,2,,0,1,3,3,Clinton,2,4,2
45,39,4,3,3.5,3,3.375,6,6.25,7,4.666666667,5.666666667,3.2,2.8,1.333333333,4,1,2.6,42,2.6,3.25,3.5,1,1,trump,2,3,2,2,2,2,2,2,,40,10,20,30,2,10,2,1,2,,"2,4",3,,1,2,,0,1,,,Trump,2,4,2
74,44,3.5,4,4,2.5,3.5,7,4.25,6.25,2.333333333,1.933333333,4.4,2.5,2.666666667,5,2.25,3.9,,3.4,3,3,,1,n/a,4,3,2,2,2,2,2,,,20,55,15,10,4,26,1,2,2,,2,3,,3,1,20,0,1,,,na,2,7,2
79,41,4,4,4,4,4,6.25,5.75,7,3.666666667,3.933333333,4.9,2.8,3.666666667,6,5.25,4.1,,4.6,3.75,4,0,1,Donald Trump,3,2,2,2,2,2,2,,,100,100,75,75,5,6,5,1,2,,"3,5",3,,1,1,19,0,1,5,6,Trump,2,1,2
68,32,3.5,4,3.5,3.5,3.625,7,6,6.25,4.166666667,3.8,2.9,2.9,4.666666667,7,2.25,3.4,40,3.8,4.25,4,0,1,Trump,3,3,2,2,1,2,2,2,,10,25,40,25,3,13,1,1,2,,"2,6",3,,6,1,21,0,1,,4,Trump,2,1,2
76,36,3,4,4,4,3.75,5.75,5.75,6,5.166666667,3.466666667,2.9,2.8,1,0,1,3.1,,1.6,1,2,0,1,John Kasich,3,3,2,2,2,2,2,2,,30,30,30,10,4,14,1,2,2,,"2,4,6",3,,4,1,19,0,1,4,6,Kasich,2,1,2
75,40,2.5,2.5,4,4,3.25,1.25,1,1,5.666666667,2.533333333,4.2,3.3,1,6,2.25,3.7,,4.8,5,5,,1,Ted Cruz,4,5,2,2,2,2,2,,,25,25,30,20,5,9,3,1,2,,"2,3,4,5",3,,8,1,18,0,1,5,5,Cruz,2,7,2
69,31,3,4,3.5,3,3.375,6,5,6.25,3.166666667,2.8,2.6,3.4,2,2,2,3.4,,2.6,3,3,0,1,Bernie,1,4,2,2,2,2,2,2,,0.5,0.5,5,4,2,11,2,1,2,,"2,3,6",3,,1,1,19,0,1,2,2,Sanders,2,1,2
76,36,3.5,4,3.5,3.5,3.625,5.5,4,7,5.5,3.933333333,3.6,3.5,1.333333333,7,1.75,2.4,,1.6,3.5,1.5,0,1,Trump,4,5,2,2,2,2,2,2,,35,35,20,10,5,8,5,1,2,,"2,3,4,5,6,7",3,,7,1,19,0,1,7,7,Trump,2,1,2
69,38,4,4,4,4,4,7,7,5.5,5.333333333,2.333333333,1.6,4,2,7,1,3.1,60,5,5,5,1,1,Bernie Sanders,4,3,1,2,2,2,2,,,5,5,75,15,3,11,2,2,2,,2,3,,4,1,19,0,1,4,2,Sanders,2,2,2
53,39,4,4,4,2.5,3.625,2.75,6.75,4.5,2.666666667,2.6,4.4,3.5,1.666666667,2,1.5,4.3,34,2.6,4.5,5,0,1,Bernie Sanders,2,1,2,2,2,1,2,2,,5,5,50,40,3,12,1,2,2,,3,3,,2,1,20,0,1,2,2,Sanders,2,1,2
64,29,4,3,4,4,3.75,4.5,3.75,3,2.833333333,3.066666667,3.5,2.9,4,9,4,2.9,,3.2,2.75,3.5,1,1,N/A,4,4,2,2,2,2,2,2,,80,75,100,100,4,12,2,1,1,,"2,3,4,5,6",3,,7,1,17,0,1,,,na,2,2,2
76,38,4,4,3.5,4,3.875,5.25,5,5,5.5,3.2,2.9,3,5,3,2,3.3,34,4.6,5,5,0,1,george busch,4,4,2,2,2,2,2,2,,20,50,20,10,5,10,5,4,2,,"3,6,7",3,,3,1,20,0,1,,,Bush,2,1,2
63,35,4,4,4,4,4,3.75,1,6.5,2.166666667,2.066666667,2,4,1,9,2.75,3.4,34,3,2,1,0,1,Bernie Sanders,3,2,2,2,1,1,2,2,,0,75,20,5,1,25,1,1,2,,"2,4",3,,5,1,19,0,1,3,3,Sanders,2,1,2
49,38,4,4,4,4,4,6.75,6.25,2,4.5,4.133333333,3.2,3,1,2,1,2.2,42,2.2,3,2.5,1,1,bernie Sanders,3,3,2,2,2,2,2,2,,35,35,20,10,4,11,3,1,2,,"2,4,6",3,,2,1,22,0,1,3,3,Sanders,2,4,2
72,38,3.5,3.5,3.5,4,3.625,5.75,7,7,3.166666667,3.266666667,4.1,3.2,1.333333333,2,1.5,3.1,,1,1.5,5,0,1,Bernie Sanders,2,3,2,2,2,2,2,2,,25,25,25,25,4,9,2,1,2,,1,3,,5,1,21,0,1,3,3,Sanders,2,1,2
69,33,4,4,4,4,4,5.75,6,5.5,4.666666667,3.333333333,3.7,2.9,4,4,2.75,2.5,,3.2,2.75,2,1,1,Bernie Sanders,4,4,2,2,2,2,2,,,15,30,40,15,3,11,1,1,1,,"2,6",3,,5,1,21,0,1,3,3,Sanders,2,2,2
72,29,4,4,4,4,4,7,5.75,7,4,3.066666667,4.4,2.9,1,5,2.5,3.2,42,4,5,5,0,1,Ben Carson,2,3,2,2,2,2,2,2,,100,50,80,50,5,9,5,1,2,,"3,5",,,7,1,19,0,1,5,6,BenCarson,2,1,2
69,38,3.5,4,4,3.5,3.75,5.25,4.25,3.25,3.166666667,3.2,4.3,3.1,1.333333333,1,2,3.4,54,3.4,4,3,0,1,Ted Cruz,4,3,1,2,2,2,2,,,15,17,50,18,4,9,2,1,2,,"2,4,6",3,,2,1,19,0,1,4,6,Cruz,2,1,2
66,33,4,4,4,4,4,5.75,7,4,4.333333333,5,3.2,3.3,3,4,1.5,2,42,2,3,3.5,0,1,No Opinion,4,3,2,2,2,2,2,2,,15,10,50,25,3,14,1,1,1,,"3,5,7",3,,3,1,22,0,1,,4,neither,2,1,2
58,38,3.5,3,3,2.5,3,7,6,5,4.5,4.6,3.1,2.8,1,0,1,2.9,42,3,3.5,4,1,1,Bernie Sanders,4,4,2,2,2,2,2,2,,2,0,75,23,2,9,2,1,2,,5,3,,1,1,19,0,1,3,3,Sanders,2,2,2
65,30,3,4,3,3,3.25,5.5,6.25,6.5,4.666666667,3.2,3.4,2.7,2,4,2.25,3.6,,3.2,3.5,2,0,1,feel the bern,1,3,2,2,2,2,2,2,,39,36,15,10,5,6,4,1,2,,"2,4,6",3,,1,1,19,0,1,3,4,Sanders,2,1,2
41,44,2.5,3,3,4,3.125,3.75,3.75,2.75,4.333333333,4.6,3.7,3.3,1.666666667,3,1,4.1,,1,1,1,0,1,They're all so bad...,4,3,2,2,2,2,2,2,,0,0,25,75,2,10,1,1,1,,"2,3,4,5,6,7",3,,1,2,,0,1,4,3,neither,2,1,2
73,51,4,4,4,3.5,3.875,5.75,5.75,5.5,5.333333333,3.666666667,3.9,3.7,1,0,2,3.2,,4.8,2.25,1,1,1,None,3,3,2,2,2,2,2,2,,35,40,15,10,5,9,3,4,1,,1,3,,4,1,3,0,1,,2,neither,2,2,2
76,36,4,4,3.5,4,3.875,6.25,6,5,5.333333333,5.4,3,3.4,4.666666667,7,1.5,2.7,42,3.6,3,4,1,1,Hillary,5,5,2,2,2,2,2,,,30,25,30,15,4,8,2,1,2,,"2,3,4,5,7",3,,1,1,19,0,1,,2,Clinton,2,2,2
72,38,3.5,3,4,4,3.625,7,6.75,7,5.333333333,4.733333333,2.6,3,1,7,2.75,2.2,,4.4,3.75,3.5,1,1,Bernie Sanders,4,4,2,2,2,2,2,2,,30,40,25,5,4,9,3,1,2,,"2,3,4,7",3,,4,1,19,0,1,2,1,Sanders,2,2,2
61,43,4,4,4,3.5,3.875,6,6,6,4.833333333,3.6,4.1,3,1,3,1,3.3,42,2.2,3.5,3.5,0,1,Gary Johnson,3,4,2,2,2,2,2,2,,30,30,25,15,5,12,2,1,2,,"2,4,6",3,,1,1,21,0,1,3,4,Johnson,2,1,2
69,37,4,3.5,4,3.5,3.75,7,4.75,7,5.833333333,5.666666667,2,3.6,2.333333333,4,1.5,2.2,42,3,3.25,3,1,1,Bernie Sanders,2,4,2,2,2,2,2,2,,30,35,20,10,4,9,2,1,2,,1,3,,4,1,21,0,1,4,2,Sanders,2,2,2
78,39,4,4,4,4,4,7,7,7,6.333333333,3.6,4.1,3,1,2,1.5,3.4,,4.8,3.25,3,1,1,Ted Cruz,5,5,2,2,2,2,2,2,,30,40,20,10,5,6,4,1,2,,"2,3,4,5,6,7",3,,3,2,,0,1,6,5,Cruz,2,3,2
67,37,4,4,4,4,4,6.75,6.75,7,6.666666667,4.6,3.4,3.3,2,1,1,3.3,,3.8,3.75,5,0,1,Bernie Sanders,4,4,2,2,2,2,2,2,,60,15,15,10,5,7,4,4,2,,1,3,,1,1,20,0,1,4,5,Sanders,2,1,2
54,41,3.5,2.5,3,4,3.25,6,6.25,6,6.833333333,2.4,1.9,3.2,1,6,1.25,2.8,42,4.6,5,4,1,1,Bernie Sanders,4,4,2,2,2,2,2,2,,30,30,30,10,5,9,3,1,2,,4,3,,4,1,18,0,1,4,3,Sanders,2,2,2
63,46,4,2.5,4,4,3.625,7,7,7,6.5,5.133333333,3.9,3.7,1,0,1,2.2,56,1.6,1,3.5,0,1,Bernie Sanders,1,2,2,2,2,1,2,,,2,15,45,38,1,14,1,1,2,,"2,3,6,7",3,,1,1,8,0,1,1,1,Sanders,2,1,2
76,35,3.5,3,3.5,3,3.25,5,6,6.25,3.333333333,4.2,3.9,3.5,1.666666667,2,1.5,2.5,42,3.4,2.25,3,0,1,Ted Cruise,2,4,2,2,2,2,2,2,,20,20,50,10,4,9,4,2,2,,"2,3",3,,1,1,19,0,1,5,6,Cruz,2,1,2
69,37,4,3.5,4,3.5,3.75,7,7,7,5,3.666666667,3.6,3.4,1,1,1.25,2.4,51,3.2,4,2,0,1,Donald Trump,5,5,2,2,1,2,2,,,30,30,30,10,4,10,4,1,2,20,"2,3,4,5,6,7",3,,5,1,20,1,1,6,7,Trump,1,1,2
70,39,4,3.5,4,4,3.875,6.75,6.75,4,4,5.066666667,3.3,3.8,1,1,1,2.6,54,2.6,2.5,4,0,1,Clinton,1,3,2,2,2,1,2,2,,0,15,40,45,1,26,1,1,2,19,"2,3,5,6,7",3,,1,1,10,1,1,1,1,Clinton,2,1,2
72,35,4,4,4,4,4,5.5,7,1.75,5.333333333,4.933333333,1.7,3.8,2,5,1,3.1,46,2.2,2.5,2,1,1,Hillary,4,4,,,,,1,,,5,5,70,20,3,11,3,2,2,20,1,3,,1,1,20,1,1,2,2,Clinton,1,2,2
61,40,4,4,4,4,4,6.5,6,7,5.333333333,3.133333333,3.7,3.8,1.333333333,7,1.5,2.7,42,4.4,4.25,5,0,1,Trump,4,4,2,2,2,2,2,,,30,30,30,10,5,9,2,1,2,20,"2,3,6,7",3,,5,1,20,1,1,2,7,Trump,2,1,2
76,39,4,4,4,4,4,5.25,3.25,1.25,2.166666667,3.4,4.5,2.9,2.666666667,6,5.5,4.5,42,4.6,3.75,4,0,1,Donald Trump,3,2,2,2,2,2,2,2,,40,30,20,10,5,6,5,1,2,19,"3,5",3,,1,1,19,1,1,6,7,Trump,2,1,2
61,28,4,4,4,4,4,7,7,7,4,2.333333333,5,3.7,2.333333333,2,3.75,3.8,34,4.2,5,5,0,1,Hillary Clinton,3,2,2,2,2,2,2,2,,10,40,35,15,3,10,1,1,2,20,5,3,,7,1,18,1,1,2,1,Clinton,2,1,2
62,44,4,4,4,4,4,5.25,7,7,5.333333333,2.533333333,2.9,3.1,4,3,2.25,3.9,42,4,4.25,5,0,1,Donald Trump - I would rather chop my toes off than vote for hillary clinton #Benghazi,5,5,2,2,2,2,2,2,,25,35,30,10,5,8,4,1,1,19,"3,5",3,,7,1,19,1,1,7,7,Trump,2,1,2
70,38,4,4,4,4,4,7,5.25,7,3,2.8,2.9,2.8,3.333333333,3,1.5,4,25,3.6,3.5,4.5,0,1,Donald Trump,4,5,2,2,2,1,1,,,30,35,20,15,5,7,4,1,2,20,"3,5,7",3,,7,1,20,1,1,6,6,Trump,1,1,2
68,31,3,3.5,3,4,3.375,4.25,5,5,4.166666667,4.066666667,3.1,2.7,3,1,1,2.2,,3.4,2,3,1,1,Hillary Clinton,2,3,2,2,2,2,2,2,,20,25,30,25,4,14,2,1,2,20,"3,5,7",3,,5,1,20,1,1,2,2,Clinton,2,4,2
58,39,4,4,4,4,4,5.75,6.75,6,5.166666667,5.266666667,3.5,3,1,0,1.5,3.5,,3,3,5,0,1,Clinton,2,3,2,2,2,2,2,2,,30,0,40,30,3,9,2,2,2,19,1,3,,5,1,19,1,1,2,3,Clinton,2,1,2
70,32,3,3,3,3,3,6,6,6,4.166666667,3.133333333,3.6,3,2,1,2.5,2.8,33,4,4,4,0,1,Trump,4,4,2,2,1,1,2,2,,30,30,30,10,4,11,2,2,2,21,3,3,,2,1,21,1,1,6,6,Trump,2,1,2
64,34,3.5,4,3.5,4,3.75,7,7,7,4.833333333,4,2.1,3,3,1,1,1.9,,2.4,2,2,0,1,Gary Johnson,4,4,2,2,2,2,2,2,,20,25,30,25,4,10,1,3,2,21,"2,3,4,5,6,7",3,,6,1,21,1,1,5,5,Johnson,2,1,2
78,33,3.5,3,4,4,3.625,6,5.25,4,5,5,3.4,2.7,1,3,1,3.1,43,2.4,3,3,0,1,Hillary Clinton,2,3,2,2,2,1,2,2,,20,20,50,10,4,10,1,1,2,20,"2,4",3,,7,1,20,1,1,2,2,Clinton,2,1,2
46,34,4,4,4,4,4,5,7,7,5.333333333,2.666666667,4.6,3,3.333333333,3,1.75,3.1,40,1.8,1,2,0,1,Hillary Clinton,1,4,2,2,2,1,2,2,,28,5,47,20,3,11,2,1,2,19,1,3,,7,1,19,1,1,3,3,Clinton,2,1,2
62,31,4,4,4,4,4,7,7,7,1.666666667,3.4,3.7,2.8,2.666666667,1,1.25,3.4,,5,4.5,5,1,1,Clinton,2,4,2,2,2,2,2,2,,20,30,40,10,4,9,2,2,2,19,"2,4,6",3,,4,1,19,1,1,2,2,Clinton,2,2,2
61,37,3.5,4,4,4,3.875,5.75,1.75,5.25,3.5,5.066666667,3.6,2.5,1.666666667,2,1,2.6,,2.2,2.5,2,0,1,Hillary Clinton,3,4,2,2,2,2,2,2,,20,20,35,25,3,10,4,2,2,21,3,3,,2,1,21,1,1,3,3,Clinton,2,1,2
65,48,4,4,4,2,3.5,5.25,4,6,3,2.133333333,1.3,3.8,1,9,1.75,4.2,23,3,3,3,0,1,Jill Stein,1,1,2,2,1,1,2,,,0,50,30,20,1,14,1,1,2,19,"2,4",3,,2,1,19,1,1,2,4,Stein,1,1,2
58,53,4,3.5,4,3.5,3.75,7,6.5,7,5.166666667,3.733333333,2.9,2.8,2.666666667,5,2.25,3,47,3.2,4.25,4,0,1,Hillary Clinton,2,4,,,1,,,,,40,20,30,5,5,11,2,1,3,21,3,3,,8,1,21,1,1,3,4,Clinton,1,1,2
74,38,4,3.5,4,3.5,3.75,5.25,7,7,4.833333333,5.066666667,2.8,3.3,1,2,1.5,3.3,,1.2,1.75,2,1,1,Hilary Clinton,2,4,2,2,2,2,2,,,30,50,15,5,4,9,2,1,2,20,"2,3,4,5,6,7",3,,6,1,20,1,1,2,2,Clinton,2,2,2
68,45,3.5,4,4,2.5,3.5,6.25,3.75,3.25,2.833333333,3.4,2.1,3.6,3.666666667,5,1.75,3.6,45,2.8,4.5,4.5,1,1,Hillary Clinton,4,4,1,2,2,2,2,2,,25,30,20,25,4,8,2,1,2,20,"3,5,7",3,,6,1,20,1,1,1,1,Clinton,1,2,2
70,31,4,4,4,4,4,5.75,5.5,5.25,3.333333333,3.066666667,2.6,2.8,5.333333333,3,1,3.4,,2.6,4,2,0,1,Trump,4,4,2,2,2,2,2,,,40,30,20,10,3,11,3,1,2,21,1,3,,7,1,21,1,1,,,Trump,2,1,2
52,36,2.5,3,3.5,3.5,3.125,5.75,2.25,6.5,4.333333333,3.533333333,3.7,2.7,2.333333333,8,1.5,2.7,40,3.4,2.25,3.5,0,1,Donald Trump,3,4,2,2,2,1,2,2,,40,40,5,15,5,8,3,1,2,20,"3,7",3,,5,1,20,1,1,2,5,Trump,2,1,2
72,38,4,4,4,4,4,6,6,7,5,3.333333333,4.1,3,1,3,1,4.3,24,3.8,3.75,4,0,1,Hillary Clinton,1,4,2,2,2,1,2,,,45,35,10,10,5,11,4,2,2,21,"2,3,4,5",3,,8,1,21,1,1,2,3,Clinton,2,1,2
58,35,4,4,3,4,3.75,6,6,6,5.833333333,3.733333333,3.7,3,1.333333333,6,1.5,3.3,,3,2.5,2.5,0,1,Trump,3,4,2,2,2,2,2,2,,30,40,20,10,4,12,4,1,2,19,"2,4",3,,8,1,19,1,1,6,6,Trump,2,1,2
63,35,4,4,4,4,4,7,6.5,7,5.833333333,3.533333333,4.4,3.4,1.333333333,4,1,2.8,,2.4,5,3,1,1,"Both of them make me a little nervous. And I wish that we had more options (people say it's unlikely for any other party besides the main two to win though). So, I guess I'll vote for Clinton to be safe. Based on those questions I answered earlier, I wouldn't consider Donald Trump a good role model or a good example of what an adult should be.",4,5,2,2,2,2,2,2,,20,25,5,50,4,14,3,1,2,21,"2,3,4,5,6,7",3,,7,1,19,1,1,3,3,Clinton,2,2,2
61,41,4,4,4,4,4,4.5,1,6.75,1.166666667,2.8,3.9,3.3,4,7,1,4.4,17,1,2,3.5,0,1,Hillary Clinton,4,2,2,2,2,1,2,2,,20,30,40,10,4,16,1,2,1,20,"2,3,6,7",3,,6,1,20,1,1,2,3,Clinton,1,1,2
78,35,4,3.5,4,4,3.875,4.25,5.75,7,4,3.333333333,3.3,3.5,3,5,1,2.8,54,2,2.5,3.5,1,1,Hillary Clinton,5,5,2,2,2,2,1,2,,35,30,25,10,5,12,2,2,2,22,1,3,,4,1,22,1,1,2,2,Clinton,2,2,2
67,42,3.5,3.5,4,4,3.75,6,5.5,4.75,4.333333333,2,4.5,3.2,2.333333333,5,2.25,3.7,,3.4,3.5,4,0,1,Trump,4,5,2,2,2,2,2,2,,30,15,40,15,5,9,4,1,2,20,"2,3,4,5",3,,7,1,20,1,1,4,5,Trump,2,1,2
41,42,4,4,4,3,3.75,6,7,7,5.166666667,4.466666667,4.3,3.5,1,6,1,3.4,,3.8,2.5,3.5,0,1,Donald Trump,2,3,2,2,2,2,2,,,40,30,20,10,5,6,4,1,2,18,2,3,,8,1,18,1,1,7,7,Trump,2,1,2
73,35,4,4,3.5,4,3.875,6.5,5.25,5.75,3.166666667,3.266666667,2.9,2.7,1.666666667,2,2,3.2,42,4.2,3.75,4.5,1,1,Hillary Clinton,4,3,2,2,2,2,2,,,20,15,40,25,3,14,2,1,2,19,"2,3,4,5",3,,5,1,6,1,1,1,2,Clinton,2,2,2
67,39,4,4,4,3.5,3.875,6.25,6.5,7,5.833333333,3.666666667,2.2,3.7,1.333333333,6,1.25,2.4,42,2.8,2,3,0,1,Hilary,4,4,2,2,2,2,2,2,,35,20,30,15,4,26,3,2,2,20,"2,6",3,,5,1,20,1,1,2,2,Clinton,2,1,2
74,45,3.5,3.5,3.5,4,3.625,7,7,7,6.666666667,5.2,1.9,3.8,3,9,1.25,2.2,,4,4,3,,1,Hilary,5,5,2,2,2,2,2,2,,20,20,45,15,4,9,2,1,2,21,"2,4,6",1,4,8,1,21,1,1,2,,Clinton,2,7,2
76,38,4,4,4,4,4,5.75,6,6,5.166666667,4.066666667,3.2,2.8,2,4,2.25,3,39,3.2,3.5,4,0,1,Clinton,4,4,2,1,2,2,2,2,,35,20,30,15,5,8,4,1,2,20,"2,4",3,,5,1,20,1,1,4,3,Clinton,1,1,2
68,44,3,3.5,3.5,3.5,3.375,5.25,5,5.25,5.666666667,3.933333333,1.4,3.2,2,5,2.25,2.8,,2.8,3,3,1,1,Clinton,4,4,2,2,2,2,2,2,,30,40,20,10,4,10,2,1,1,22,"5,7",3,,6,1,22,1,1,4,3,Clinton,2,2,2
76,36,3.5,4,4,4,3.875,4.75,5,6.75,4.166666667,3.066666667,4.2,2.3,1,1,1.5,3.6,,2.2,2.5,2.5,0,1,Donald J. Trump,4,4,2,2,2,2,2,2,,25,20,50,5,4,14,4,2,2,20,"2,3,7",3,,5,1,20,1,1,6,6,Trump,2,1,2
61,46,4,3.5,4,4,3.875,6,5.5,4.75,5.333333333,3.8,4.2,3,2,6,1,3,51,4,4.25,3.5,,1,Gary Johnson,4,4,2,2,2,2,1,2,,0,0,60,30,4,14,2,2,2,19,"2,3,4,5,6,7",3,,2,1,9,1,1,2,2,Johnson,2,7,2
77,35,3,3.5,3,3,3.125,6.25,4.25,4,3,3.866666667,2.3,3,2.333333333,4,3.25,3.7,,2,2.5,5,,1,,3,3,2,2,2,2,2,2,,20,40,40,0,4,11,1,1,2,20,"2,3,7",3,,1,1,20,1,1,3,5,,2,8,2
67,37,3.5,4,3.5,4,3.75,4.5,2.5,1.75,1.833333333,4.533333333,4,2.6,1,1,5,4.4,26,3,3.5,3.5,0,1,"They are both horrible, I can't decide",3,3,2,2,2,1,2,2,,90,30,100,80,4,8,4,1,2,20,"3,5",3,,1,1,20,1,1,3,4,neither,1,1,2
58,36,4,2.5,2.5,3.5,3.125,6.75,5,4,7,4.2,2.6,3.9,3.666666667,9,2.75,2.7,,3.4,1.75,2.5,0,1,,3,3,2,2,2,2,2,2,,20,40,30,10,4,19,1,3,1,22,1,3,,1,2,,1,1,4,4,,2,1,2
57,36,4,4,3,4,3.75,5,6.5,6,4.833333333,3.666666667,3.8,3.2,1.666666667,3,1.75,3.3,37,2.6,3,4.5,0,1,"Gary Johnson, or more or less anyone but the bipartisan candidates",4,4,2,2,1,1,2,1,Attentional/motivational specifically,20,5,50,25,4,16,1,1,1,21,"2,3",3,,1,1,21,1,1,4,4,Johnson,1,1,2
64,43,4,4,4,4,4,5.75,7,7,6.333333333,2.6,2.9,3.3,1,3,1.25,3,49,3.2,3.75,4,,1,Hilary Clinton,2,4,2,2,2,1,2,2,,40,0,30,30,4,9,2,2,2,19,"2,4",3,,7,1,19,1,1,2,3,Clinton,2,8,2
78,38,4,4,4,4,4,5.5,6,6,3.5,4,3.1,2.6,3.333333333,1,1.25,3.4,,3.8,3.75,3,1,1,Hillary Clinton,3,3,2,2,2,2,2,2,,20,20,40,20,5,11,3,1,1,20,3,3,,8,1,20,1,1,2,2,Clinton,2,4,2
73,38,4,4,4,4,4,6.75,5.25,7,4.5,4.2,4.2,3.4,2,6,2,3.3,44,3,3.25,3,1,1,Hillary Clinton,5,5,2,1,2,2,2,2,,35,35,20,10,5,10,2,1,2,20,"3,5",3,,8,1,20,1,1,3,2,Clinton,2,4,2
50,40,3,2,2,3,2.5,4,4,4,4,3.466666667,3,2.5,4,7,4,3,22,3,3,3,0,1,Hillary,3,3,2,2,1,1,2,2,,20,10,40,30,5,12,3,1,2,20,"2,3,4,5,6,7",3,,7,1,20,1,1,4,4,Clinton,2,1,2
60,0,4,4,4,4,4,4,5,6,3.333333333,4,2.4,2.7,2,1,1,3,,3.4,4,4,1,1,Hillary Clinton,3,3,2,2,2,2,2,,,20,20,40,20,4,12,3,1,1,20,3,3,,8,1,20,1,1,2,2,Clinton,2,4,2
79,32,4,4,4,4,4,5.75,7,7,1,1.466666667,4.5,3.2,5.333333333,6,7,4.9,17,2.6,4,3.5,,1,Garry Johnson,2,4,2,2,2,1,1,2,,40,30,20,10,5,11,2,2,2,20,"2,3,6,7",3,,8,1,20,1,1,5,5,Johnson,1,7,2
64,37,3.5,3,2,4,3.125,6.25,6,7,4,3.333333333,1.9,3.5,1,6,1.5,2.3,42,2.2,2.5,5,1,1,Hilary Clinton,2,2,2,2,2,2,2,2,,0,0,40,60,1,9,5,2,2,21,"2,3,4,5,6,7",3,,2,1,21,1,1,5,2,Clinton,2,2,2
68,35,3.5,3.5,3.5,4,3.625,6.75,6.75,6.75,5.833333333,3.2,3.9,2.9,2,5,1.75,2.8,,4.2,2.75,3.5,0,1,Evan McMullin,4,4,2,2,2,2,2,2,,35,35,20,10,5,10,3,1,1,22,"2,3,6,7",3,,5,1,20,1,2,5,5,McMillan,2,1,2
42,37,3.5,4,3.5,3.5,3.625,6.25,7,7,5,2.933333333,1.6,3.1,3,4,1,3.9,42,3.6,3.25,3,0,1,Clinton,1,1,2,2,2,2,2,2,,0,0,30,70,1,25,1,1,1,21,"3,5",3,,5,1,21,1,2,4,3,Clinton,2,1,2
60,35,3,4,3,2.5,3.125,4.5,5.5,5.75,3.333333333,3.266666667,3.9,2.6,2,2,1.25,3.7,35,2.6,3.25,4,1,1,Hilary Clinton,4,3,2,1,2,1,1,,,5,15,40,40,2,26,1,4,1,21,"2,3",3,,4,1,21,1,2,2,3,Clinton,1,2,2
73,33,3,4,3.5,4,3.625,4,5,2.5,2.166666667,3.333333333,3.5,2.7,3.333333333,3,1.25,3.7,42,3.8,3,4,0,1,"I supported Trump. I do not agree with a lot that he says, and I dont approve of  his rhetoric, but my only other practical option was a corrupt poltician.",1,3,2,2,2,2,2,2,,40,30,20,10,5,26,3,1,1,19,"2,3,4,5",3,,5,1,19,1,2,6,6,Trump,2,1,2
80,35,4,4,3.5,4,3.875,4.5,7,1.5,2.666666667,3.466666667,3.9,2.8,3.666666667,4,3.25,4.3,34,4.6,3,2.5,1,1,Clinton,5,3,2,2,2,2,2,2,,25,25,25,25,4,12,3,1,2,19,"2,3",3,,4,1,17.5,1,2,2,3,Clinton,2,4,2
