MoAimportSUM,MoAachieveSUM,IDEA8_exp,IDEA8_negativity,IDEA8_identity,IDEA8_between,IDEA8All,PSS_Family,PSS_Friends,PSS_Special,SWBscale,MindfulnessScale,BelongingScale,EfficacyScale,Exploitiveness,NPItot,Transgressions,Stress,PosDisabilityIdentity,SocMedia_maintain,SocMedia_newconnect,SocMedia_information,RaceDichotomized,EducationDichotomized,president,usdream_1,usdream_2,PhysicalDis,SensoryDis,LearningDis,PsychiatricDis,ChronicHealthDis,OtherDis,OtherDisSpecify,marriage1_1,marriage1_2,marriage1_3,marriage1_4,marriage2,marriage3,marriage4,marriage5,sex,age,sibling,armedservices,yearsservices,income,USresidency,USresidencyyears,EA_Status,Election_date,Political_views,Party_affiliation,President_coded,DisabilityIdentity,RaceCoded,EducationCoded
66,31,4,3.5,4,3.5,3.75,7,7,7,7,2.066666667,3.7,3.5,4.666666667,4,,1.8,,4.4,4.25,4.5,,,Trump,4,5,,,,,,,,,,,,,,,,,,,,,,,,0,1,6,7,Trump,2,,
61,45,4,4,4,4,4,5,5,6,3.833333333,2.6,3.4,3.8,1.666666667,8,,,,2.4,2,4.5,,,Jill Stein,4,4,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,,Stein,,,
66,32,3.5,4,1.5,3.5,3.125,3.5,2.75,5,1.666666667,2.866666667,2.5,2,1.333333333,5,2.5,3.7,46,2,3,3,,,Hilary Clinton,5,4,2,2,2,2,2,,,25,25,40,10,2,11,2,4,,,,,,,,,0,1,,2,Clinton,,,
76,33,3.5,4,3.5,3.5,3.625,7,4.25,4.75,5.833333333,3.2,2.5,3.4,1,2,1.25,,,4.4,3.5,4.5,,,Hillary Clinton,5,3,,,,,,,,10,10,65,10,2,12,4,4,,,,,,,,,0,1,5,3,Clinton,2,,
77,41,3,4,2.5,2.5,3,5.5,5.25,6,4.666666667,4.866666667,2.5,2.8,2.666666667,8,1.5,2.7,,3,3.25,3,,,Hilliary clinton,3,5,2,2,2,2,2,,,,,,,,,,,,,,,,,,,0,2,6,3,Clinton,2,,
70,33,4,3,3.5,3.5,3.5,6.25,5.75,7,5.666666667,3.6,3.6,2.9,3.333333333,0,1.5,2.4,,3,3,4,,,,3,3,2,2,2,2,2,,,,,,,,,,,,,,,,,,,0,1,,,,2,,
59,33,3.5,3,3.5,3.5,3.375,4,4.75,6.5,3.666666667,4,3.1,2.7,2.333333333,4,,,,2.2,1.25,2.5,,,Clinton,1,3,,,,,,,,,,,,,,,,,,,,,,,,0,1,4,3,Clinton,,,
64,35,4,3.5,4,4,3.875,6.25,5,7,5,3.066666667,3.3,2.7,1,3,4.25,3.2,,3.2,4,4,,,Hilary Clinton,4,4,,,,,,,,30,25,25,20,5,10,1,1,,,,,,,,,0,1,1,1,Clinton,2,,
,,,,,,,,,,,,,,3.333333333,6,1,,,,,,,,HILARY CLINTON,,,1,1,1,1,1,1,EGPA,0,0,0,0,,,,,,,,,,,,,0,1,4,4,Clinton,1,,
66,32,4,2.5,3.5,3.5,3.375,5.25,2,5.5,4.166666667,4,3.1,2.6,1.666666667,2,1.75,2.7,34,3.4,3.25,3.5,0,0,john kasich,5,5,2,2,2,2,2,2,,10,70,10,10,4,14,2,1,2,,1,3,,5,1,25,0,1,4,6,Kasich,2,1,1
62,37,4,4,4,3.5,3.875,7,4.5,6.5,2.5,4.266666667,3.9,1.7,2.333333333,0,3,3.5,,2.2,1.5,4,0,1,Clinton,5,5,2,2,2,2,2,,,25,50,20,5,3,14,4,1,2,,"3,5,7",3,,4,2,,0,1,4,4,Clinton,2,1,1
54,42,2.5,3,2.5,3,2.75,5.5,5,4.25,2.333333333,3.733333333,3.4,2.7,3.666666667,1,4.75,3.4,,3.2,3,2.5,0,1,Bernie Sanders,4,4,2,2,2,2,2,2,,15,60,10,15,3,14,4,1,1,,"2,3,4,5,6,7",3,,3,1,28,0,1,2,2,Sanders,2,1,1
58,53,4,3,4,3,3.5,6.25,7,5,4.666666667,2.8,2.9,3.5,1.333333333,7,2.75,3.2,42,2.8,3,2.5,0,1,Bernie sanders,2,4,2,2,2,2,2,2,,40,10,20,30,3,15,2,2,1,,"2,3,4,6",3,,2,1,22,0,1,2,3,Sanders,2,1,1
70,44,3.5,4,4,4,3.875,4.5,5.25,7,2.166666667,4.666666667,1.3,3.1,6,7,1.25,4.1,44,1.4,1,4,1,1,Hillary Clinton,4,4,2,2,2,2,2,2,,30,40,10,20,4,9,2,4,2,,"2,3,4,5,6",3,,3,1,21,0,1,3,2,Clinton,2,3,1
69,45,3.5,3,2.5,3.5,3.125,5.25,6.25,6,5.166666667,4.333333333,3,2.9,2,6,1.25,2.8,42,2.6,1.5,2.5,1,0,Hilary,4,4,2,2,2,2,2,2,,100,100,80,80,5,11,4,1,1,,5,3,,3,1,22,0,1,,,Clinton,2,3,1
67,39,3.5,4,4,3.5,3.75,2.25,3.25,3.5,3,4.266666667,1.7,3.2,1,0,1,3.1,42,1,1,1,,0,"I don't like either, but Donald Trump because of his pro-life stance",3,4,2,2,2,2,2,2,,40,40,10,10,1,2,4,1,2,,"2,3,4,5,6",3,,5,1,17,0,1,6,6,Trump,2,7,1
77,37,4,3.5,3.5,4,3.75,6.5,6,6.75,3.666666667,4.6,2.9,3,3,6,4,3.3,,4.2,4.25,2.5,1,0,None,4,3,2,2,2,2,2,2,,10,10,10,9,4,8,3,3,2,18,1,3,,3,1,19,1,1,,7,neither,2,3,1
68,33,4,3.5,3,4,3.625,5,3.5,6.75,5.333333333,3.2,2.2,3.9,3.666666667,7,3,2.5,,4.2,4.5,2,,0,Hillary Clinton,3,3,2,2,2,2,2,2,,15,10,60,15,3,12,1,2,1,18,2,3,,3,1,18,1,1,4,2,Clinton,2,7,1
66,40,3,3.5,2.5,3.5,3.125,2.25,4.75,1.25,2,4,2.7,2.9,2.666666667,4,1.25,3.8,26,3.4,2.25,5,1,0,Non supportive of either candidate because of neutrality.,2,2,2,2,2,2,2,1,Confidence in myself,60,0,70,70,4,11,4,2,1,25,"2,3,4,5,6,7",3,,2,1,25,1,2,,,neither,2,3,1
61,39,3,4,3.5,3.5,3.5,1.75,3.5,6.75,3.333333333,3.6,1.6,3.6,3.333333333,5,2,3.1,42,2.6,3.75,5,0,0,Bernie Sanders.,3,4,2,2,2,2,2,2,,25,25,25,25,3,9,4,2,1,21,3,3,,2,1,21,1,1,,2,Sanders,2,1,1
58,45,2.5,3.5,3,2.5,2.875,5.75,5.5,5.75,4.5,4,4,2.7,2.666666667,2,1.75,3.7,,3.8,3,4,0,1,None,4,4,2,2,2,2,2,2,,40,40,0,20,5,6,5,1,2,,"3,5,7",3,,4,1,24,0,1,6,5,neither,2,1,1
67,42,4,4,4,2.5,3.625,3.75,5.5,5.5,3.666666667,3.266666667,2.6,3.4,2.666666667,6,1.75,3.2,41,2.8,2.25,2.5,0,0,Bernie Sanders,2,3,2,2,2,2,2,2,,20,15,30,30,2,6,1,2,2,,1,3,,2,1,18,0,1,,,Sanders,2,1,1
44,31,3,3.5,3,3.5,3.25,4,4.75,4.75,3.833333333,4.533333333,2.7,2.8,3.666666667,4,2.75,2.9,,3.4,2.75,2,0,0,I wasn't able to vote in this election,4,3,2,2,2,2,2,2,,50,30,10,10,3,11,2,1,2,18,1,3,,1,1,17.5,1,2,,,CannotVote,2,1,1
63,51,3.5,3,4,4,3.625,5,5.75,6.75,5.166666667,4.266666667,3.2,3.2,3.666666667,8,1.25,2.4,,2.4,2.75,5,0,1,Didn't vote,3,5,2,2,2,2,2,2,,30,0,50,20,5,11,2,1,1,23,"2,3,4,5",3,,5,1,23,1,2,4,,didnotvote,2,1,1
66,31,4,4,4,3.5,3.875,4.25,4.5,4.25,3,2.333333333,3,3.8,4,6,3,3.6,,3.2,5,5,1,0,Bernie Sanders,5,2,2,2,2,2,2,2,,15,10,45,30,4,10,1,1,2,,"2,4",3,,7,1,18,0,1,4,3,Sanders,2,3,1
73,42,4,4,4,4,4,7,2.5,7,3.333333333,3.933333333,2.6,3.4,1.666666667,3,1,2.6,64,2.2,1.5,3.5,0,1,Neither.,2,4,2,2,,1,2,2,,25,25,50,0,4,9,2,2,2,21,"2,3,4,5,6,7",3,,2,1,21,1,1,4,2,neither,2,1,1
55,41,4,3,4,3.5,3.625,6.25,6.5,4.5,4.833333333,4.866666667,2.2,3.7,3,7,1,1.4,34,1.2,1.75,3,,0,Neither-- They're both idiots,1,3,2,2,2,2,2,2,,0,0,50,50,1,25,1,2,2,27,"2,3,4,5",3,,2,1,27,1,1,3,,neither,2,7,1
70,40,4,3,3,3,3.25,3.25,4.5,4.25,2.833333333,4.466666667,2.9,2.9,1.333333333,5,2,3.3,34,3,2.5,4,1,1,Hillary Clinton,4,4,2,2,2,2,2,2,depression,30,15,45,10,4,10,2,2,2,22,"2,4,5,6,7",3,,1,2,,1,1,6,4,Clinton,2,3,1
76,36,3,4,4,3,3.5,3.5,2.5,3.25,4.666666667,3.333333333,3,3,4,3,4.5,4,42,2.4,2.25,2,1,0,Hillary Clinton,5,5,2,2,2,2,2,,,25,25,25,25,3,8,5,2,2,18,"2,3,4,5,6,7",3,,1,1,18,1,1,4,2,Clinton,2,2,1
74,39,3.5,2,2.5,3.5,2.875,5.5,6.75,7,6.333333333,3.066666667,2.9,3.6,2.333333333,8,1,2.5,34,3.6,1.25,1,0,0,Gary Johnson,3,3,2,2,2,2,2,2,,30,27.5,25,17.5,5,8,5,1,1,18,"2,3",3,,1,1,18,1,1,5,5,Johnson,2,1,1
51,37,3,3.5,3.5,4,3.5,3.25,3.25,5,2,3.066666667,5,2.6,4,0,2.5,4.8,42,2.4,1.5,2,0,0,Hillary Clinton,1,1,2,2,2,2,2,2,,0,0,0,0,1,14,3,1,1,,"6,7",3,,1,1,9,0,1,2,1,Clinton,2,1,1
52,36,3,2.5,3,3.5,3,3.25,6.25,7,2.666666667,2.4,4.1,2.7,2.666666667,5,1.5,3.5,40,3.2,3.5,5,0,0,Bernie or Hilary,1,2,1,1,2,1,2,,,20,0,50,30,2,14,1,1,3,,"2,3,4,5,7",3,,1,1,19,0,1,1,2,Sanders,1,1,1
46,40,4,4,4,4,4,1.25,2.75,3.75,1.333333333,1.533333333,4.2,2.6,2,2,4.5,4.3,18,1.6,3.25,4.5,,0,Hillary Clinton,5,1,1,1,2,2,1,,,10,15,25,50,2,9,1,1,1,,3,3,,2,1,19,0,1,1,1,Clinton,1,7,1
58,36,4,3.5,4,3,3.625,5.25,6.5,5,3.666666667,3.6,3.8,3.5,2,0,1,2.7,34,3.8,2.75,5,,1,Bernie Sanders,3,2,2,2,2,1,2,,,0,0,40,60,2,17,1,2,2,,"2,3,4,5",3,,2,1,25,0,1,2,2,Sanders,1,7,1
57,37,1.5,4,2,3,2.625,2,6.5,4,1.666666667,3.466666667,2.4,3.1,1.333333333,0,4,3.9,40,2.4,2,3,0,1,"Clinton, but very bitterly",1,1,2,2,1,1,2,2,,0,0,50,50,1,24,1,1,3,,,3,,2,1,23,0,1,4,,Clinton,2,1,1
53,31,3.5,4,3.5,3.5,3.625,6,6,7,3.5,3,3.5,3.8,4,4,2,3.8,38,1.8,1.75,3,0,0,Hillary Clinton,1,2,2,2,2,1,2,2,,30,0,40,30,3,19,1,1,1,,1,3,,1,1,14,0,1,1,3,Clinton,2,1,1
