"X","participantID","Consent","CCC_students_1","CCC_students_2","CCC_students_3","CCC_students_4","CCC_Profs_1","CCC_Profs_2","CCC_Profs_3","CCC_Profs_4","CCC_Courses_2","CCC_Courses_3","CCC_Courses_4","CCC_Courses_5","CCC_Courses_7","CCC_ExtraCur_1","CCC_ExtraCur_2","CCC_ExtraCur_3","CCC_ExtraCur_5","CCC_ExtraCur_6","CCC_PersExp_1","CCC_PersExp_3","CCC_PersExp_4","CCC_PersExp_5","CCC_PersExp_7","Age","Gender","Gender.txt","International","Country.Origin","Race.Ethnicity","RE.Rep","Christian","Religion","Rel_Identity","CCC_students","CCC_profs","CCC_Courses_2r"
"execr",1,4,4,5,4,4,4,4,3,4,4,4,5,4,3,4,4,4,4,4,4,4,5,4,5,20,"F","",1,"","7","",3,"Agnostic",46,4.25,3.75,2
"execr",2,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,18,"F","",1,"","7","",1,"Christian",94,5,5,1
"CCC",3,4,3,4,3,3,4,5,4,5,4,3,3,4,4,3,2,3,5,4,3,4,3,2,3,18,"M","",1,"","2","",1,"Covenant",100,3.25,4.5,2
"execr",4,4,3,4,4,5,4,4,4,5,4,4,5,4,4,4,3,4,4,3,5,4,5,4,5,23,"F","",1,"","2","",3,"Christian but unsure at the moment",91,4,4.25,2
"Gen",5,4,4,5,4,4,5,5,5,5,4,5,5,5,4,4,3,4,3,4,5,5,5,5,5,19,"M","",1,"","7","",1,"Non-denominational Christian",10,4.25,5,2
"execr",6,4,4,5,4,4,5,4,5,5,4,4,4,4,3,4,4,3,5,4,4,4,4,4,4,21,"F","Female ",1,"","4","",1,"Protestant ",76,4.25,4.75,2
"execr",7,4,4,4,4,4,4,4,4,4,4,3,3,4,3,4,4,4,4,4,4,4,4,4,3,20,"F","woman",1,"","7","",2,"agnostic ",55,4,4,2
"execr",9,4,3,3,3,3,4,4,4,4,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4,20,"F","",1,"","2","",1,"Roman Catholic",75,3,4,3
"execr",10,4,3,3,4,3,4,4,4,4,4,3,4,4,4,4,4,3,4,4,3,3,4,4,4,20,"F","",1,"","2,3","",3,"Agnostic",28,3.25,4,2
"execr",11,4,5,5,4,5,4,4,4,5,5,5,4,4,5,5,4,5,3,5,5,5,4,5,4,20,"F","",1,"","7","",1,"Christian",69,4.75,4.25,1
"execr",12,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,18,"F","",1,"","3","",1,"Christan ",100,3,3,3
