,Pnum,Consent,CCC_students_1,CCC_students_2,CCC_students_3,CCC_students_4,CCC_Profs_1,CCC_Profs_2,CCC_Profs_3,CCC_Profs_4,CCC_Courses_2,CCC_Courses_3,CCC_Courses_4,CCC_Courses_5,CCC_Courses_7,CCC_ExtraCur_1,CCC_ExtraCur_2,CCC_ExtraCur_3,CCC_ExtraCur_5,CCC_ExtraCur_6,CCC_PersExp_1,CCC_PersExp_3,CCC_PersExp_4,CCC_PersExp_5,CCC_PersExp_7,Age,Gender,Gender txt,International,Country Origin,Race/Ethnicity,RE Rep,Christian,Religion,Rel_Identity
execr,39,4,3,4,3,3,3,2,4,3,1,2,2,1,2,4,4,2,4,3,1,1,2,1,1,20,F,,1,,7,,1,Lutherin,44
execr,40,4,3,4,4,4,4,4,4,5,4,4,4,2,5,4,5,4,4,5,3,3,4,4,4,20,M,,1,,"1,7",,2,,39
execr,41,4,4,4,4,4,4,4,4,4,3,3,4,3,4,4,4,4,4,4,4,4,4,4,4,20,M,,1,,4,,1,Roman Catholic,100
execr,42,4,3,4,4,3,4,4,5,4,5,4,5,5,4,4,4,4,4,4,5,5,5,4,4,19,F,,1,,"4,7",,1,,100
Gen,43,4,5,3,2,4,5,3,3,5,3,5,5,5,4,5,5,4,4,5,3,5,5,4,5,21,F,,1,,3,,1,Protestant ,100
execr,44,4,4,4,4,4,4,4,4,4,3,3,3,4,4,4,4,4,4,4,3,3,3,3,3,20,F,,1,,3,,1,Christian,91
Gen,45,4,5,4,4,3,5,5,4,5,5,5,3,5,4,4,5,5,4,5,5,3,5,4,5,19,F,,1,,2,,1,Catholic,37
CCC,46,4,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,4,4,4,4,4,19,8,,1,,2,,1,Catholic,50
execr,47,4,4,3,4,4,4,5,4,5,5,2,4,4,4,5,4,4,4,4,4,5,5,5,5,20,F,,1,,"4,7",,1,,32
CCC,48,4,5,4,4,4,4,5,4,5,4,4,5,4,5,5,5,5,5,5,5,5,5,5,5,18,8,,1,,2,,1,,50
CCC,49,4,3,4,4,4,4,4,4,4,4,3,4,4,4,4,3,3,4,4,4,4,4,4,4,19,8,,1,,"2,7",,1,Protestant ,57
execr,50,4,4,4,4,3,5,5,5,5,5,5,5,4,5,2,3,2,3,3,5,5,5,5,5,22,F,Female,1,,4,,1,Christianity,47
execr,51,4,3,4,4,4,4,5,5,5,4,3,4,4,3,4,5,3,4,5,5,5,5,5,5,21,F,Woman,1,,7,,3,Agnostic ,38
CCC,52,4,4,4,4,4,5,4,5,5,4,4,4,5,4,5,5,5,5,5,5,5,5,5,5,20,8,,1,,7,,1,Christian,69
CCC,53,4,5,5,5,4,3,4,3,3,3,3,4,4,3,5,5,5,5,5,5,5,4,5,5,21,8,,1,,2,,2,Catholic,48
execr,54,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,19,F,,1,,4,,1,Christian ,100
execr,55,4,4,4,4,4,5,5,5,5,4,5,4,5,4,4,4,4,4,4,5,5,5,5,5,22,F,Woman,1,,7,,1,Christian,100
execr,56,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,18,F,,1,,3,,2,Not religious ,16
execr,57,4,2,3,3,3,5,5,5,5,4,4,5,5,4,3,3,3,4,4,4,3,3,4,4,19,F,,1,,3,,1,Protestant Christian ,78
execr,58,4,4,5,5,5,5,4,5,5,5,5,5,5,5,5,4,4,5,5,4,5,4,5,4,25,F,,2,Ecuador,4,,3,non-religious,34
execr,59,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,19,F,,1,,7,,3,Agnostic maybe,14
execr,60,4,4,4,4,3,3,4,4,3,3,4,4,4,2,3,3,3,3,3,4,5,4,5,4,21,F,Woman- it was left off? ,1,,"3,7",,1,,27
execr,61,4,4,5,4,3,5,5,5,5,4,5,5,5,4,4,4,4,4,4,4,5,5,4,5,22,F,,1,,4,,1,I am Catholic.,100
execr,62,4,4,4,4,4,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,23,F,,2,Indonesia ,"1,2,6",,1,,94
execr,63,4,3,3,3,3,3,4,4,4,4,4,4,4,4,3,3,3,3,3,4,3,4,4,4,21,F,Female,1,,4,,2,Catholic,72
CCC,64,4,5,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,5,5,4,4,4,22,8,,1,,4,,2,Atheist ,90
CCC,65,4,4,5,4,3,5,4,4,4,3,3,4,4,3,4,3,3,4,4,3,3,4,3,3,20,8,,1,,4,,2,Atheist,69
execr,66,4,4,4,5,4,4,4,4,4,3,4,4,3,4,4,4,3,4,4,5,5,4,5,5,21,F,,1,,4,,2,catholic ,61
Gen,67,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,4,5,5,5,5,5,21,F,,1,,7,,1,Presbyterian ,84
execr,68,4,2,5,1,2,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,21,F,,1,,4,,1,Catholic,100
execr,69,4,5,5,4,4,5,5,4,5,4,5,5,4,4,3,3,3,3,3,5,5,4,5,5,24,M,,1,,7,,1,Protestant ,100
Gen,70,4,4,3,5,4,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,18,F,,1,,2,,1,,93
execr,71,4,4,5,3,4,5,5,4,4,5,5,5,4,5,5,5,4,5,5,5,5,4,4,5,19,F,,1,,"2,7",,1,Seventh Day Adventist ,86
execr,72,4,3,5,3,3,4,3,4,3,2,3,2,4,1,3,3,3,3,3,2,4,3,3,1,27,M,,1,,7,,2,Agnostic ,22
execr,73,4,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,25,F,,1,,7,,2,agnostic,15
execr,74,4,3,3,3,2,3,3,3,3,3,3,4,4,3,4,3,4,3,4,3,3,4,4,4,19,F,,1,,7,,1,Practicing,55
CCC,75,4,4,4,3,4,5,5,5,5,5,4,5,4,5,5,4,4,5,5,5,5,5,5,5,19,8,,1,,7,,1,,46
execr,76,4,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,21,F,,2,Colombia,4,,1,,66
execr,77,4,5,5,4,5,4,4,5,5,4,5,5,5,5,5,5,5,5,5,4,4,4,4,5,20,F,,1,,2,,2,Sikhism,100
CCC,78,4,3,3,2,2,4,4,4,4,4,4,2,4,2,4,3,2,1,4,3,2,4,4,4,26,6,,1,,7,,3,hopeful agnostic,34
CCC,79,4,3,4,3,3,5,3,4,5,4,3,4,4,4,3,3,3,3,3,4,4,3,4,4,21,6,,1,,7,,1,Orthodox Eastern,94
Gen,80,4,5,5,5,5,4,4,4,4,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,19,F,,1,,7,,2,not religious,62
Gen,81,4,4,4,4,4,5,5,4,3,4,4,4,4,3,5,5,5,5,5,5,4,5,4,4,19,F,,1,,7,,2,Not religious,100
CCC,82,4,4,3,4,3,4,3,3,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,21,8,,1,,2,,2,Not religioius ,2
execr,83,4,4,4,4,4,4,4,3,3,4,4,4,4,4,2,3,3,4,4,4,4,5,5,4,23,F,Female,1,,4,,2,not religious,54
CCC,84,4,4,3,4,4,5,5,3,4,5,4,4,4,5,4,4,4,4,4,5,5,4,3,3,19,8,,1,,4,,1,catholic,100
execr,85,4,4,2,4,3,4,4,4,2,4,4,3,4,4,2,4,4,4,2,4,4,4,5,5,20,F,,1,,3,,1,,98
Gen,86,4,4,4,3,3,4,5,4,4,4,4,4,4,3,5,4,5,4,5,4,4,4,5,5,18,M,,1,,3,,1,Catholic,100
Gen,87,4,5,5,5,5,3,3,3,3,5,5,5,5,5,3,3,3,3,3,3,3,4,4,3,38,F,,1,,3,,1,Christian ,100
CCC,88,4,3,3,3,3,5,5,4,5,3,3,3,3,3,3,3,3,3,3,5,4,5,5,4,22,8,,1,,2,,1,,93
execr,89,4,5,4,5,4,5,5,5,5,5,5,5,5,5,5,4,5,5,4,5,5,5,5,5,21,F,Woman,1,,2,,1,Presbyterian ,100
execr,90,4,3,4,3,3,5,5,5,5,5,5,5,5,4,5,4,5,4,5,4,5,5,5,5,21,F,,1,,7,,2,agnostic ,44
execr,91,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,19,F,,1,,7,,1,Pentecostal,100
execr,92,4,3,4,4,3,5,5,5,5,3,3,4,4,3,3,3,3,3,3,5,5,5,5,5,23,M,,1,,7,,2,Agnostic,0
Gen,93,4,4,4,5,3,4,4,4,5,5,4,4,5,3,3,3,3,3,3,5,5,5,5,5,18,F,,1,,7,,2,Agnostic,17
execr,94,4,4,4,4,4,4,4,3,4,4,3,3,4,4,4,4,3,4,4,4,5,4,5,5,21,M,,1,,7,,1,Christian,6
CCC,95,4,4,4,4,3,5,5,5,5,3,4,4,4,4,3,3,3,3,3,3,4,5,4,3,19,8,,1,,2,,1,,89
Gen,96,4,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,18,F,,1,,4,,2,Catholic,100
execr,97,4,5,4,4,5,5,5,5,5,5,3,4,4,3,5,4,5,4,3,5,5,5,5,5,27,F,,1,,7,,2,agnostic ,0
Gen,98,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,5,5,4,5,21,F,Female,1,,2,,2,Spiritual & Universal,82
execr,99,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,20,F,,1,,4,,3,Not in religion but I believe in God 100%,97
CCC,100,4,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,21,6,,1,,4,,1,Christian,100
CCC,101,4,3,4,2,3,4,4,5,4,4,4,4,4,4,5,5,4,4,5,3,4,4,5,4,20,8,,1,,2,,3,agnostic; still figuring it out,35
CCC,102,4,5,4,4,3,5,5,5,5,4,5,5,5,4,4,3,3,5,4,5,5,5,5,5,21,8,,1,,7,,1,"Christian, Non denominational",100
CCC,103,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,20,8,,1,,2,,1,Evangelical,100
execr,104,4,3,4,4,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,20,F,,1,,"2,6",,2,Agnostic,0
Gen,105,4,4,4,4,4,4,4,4,4,3,3,3,4,3,4,4,4,4,4,3,4,4,4,3,19,F,,1,,4,,1,Non-denominational,100
execr,106,4,4,4,2,3,4,4,4,4,4,3,4,3,3,4,4,4,4,4,4,4,4,4,4,22,F,Woman,1,,7,,1,Non denominational / Four square ,93
CCC,107,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,5,5,5,5,5,21,8,,1,,7,,1,Christian,66
execr,108,4,4,3,4,3,5,5,5,5,5,4,4,5,4,3,3,3,3,3,4,4,4,4,4,28,M,,1,,7,,1,christian,100
execr,109,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,21,F,,1,,4,,3,Christian,58
execr,110,4,4,4,4,3,5,5,5,5,5,5,4,5,5,3,3,3,3,3,5,5,5,5,5,20,F,Woman,1,,7,,2,atheist,50
Gen,111,,3,4,4,3,3,3,3,3,3,3,4,3,3,3,3,4,3,3,4,4,3,3,3,19,M,,1,,4,,2,Catholic,66
execr,112,4,4,3,4,3,4,5,4,4,4,4,4,4,3,4,5,4,4,5,4,5,4,5,4,Yes,M,,1,,"2,3,4",,1,Four Square Pentacostal Denomination,100
